States and Provinces,,"Revised June 23, 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#isocode,Location,Expenditures-Academic,Expenditures-Academic-Source,Expenditures-Academic-Year,Expenditures-National,Expenditures-National-Source,Expenditures-National-Year,Expenditures-Public,Expenditures-Public-Source,Expenditures-Public-Year,Expenditures-School,Expenditures-School-Source,Expenditures-School-Year,Expenditures-Special,Expenditures-Special-Source,Expenditures-Special-Year,Librarians-Academic,Librarians-Academic-Source,Librarians-Academic-Year,Librarians-National,Librarians-National-Source,Librarians-National-Year,Librarians-Public,Librarians-Public-Source,Librarians-Public-Year,Librarians-School,Librarians-School-Source,Librarians-School-Year,Librarians-Special,Librarians-Special-Source,Librarians-Special-Year,Libraries-Academic,Libraries-Academic-Source,Libraries-Academic-Year,Libraries-National,Libraries-National-Source,Libraries-National-Year,Libraries-Public,Libraries-Public-Source,Libraries-Public-Year,Libraries-School,Libraries-School-Source,Libraries-School-Year,Libraries-Special,Libraries-Special-Source,Libraries-Special-Year,Library Schools,Library Schools-Source,Library Schools-Year,Users-Academic,Users-Academic-Source,Users-Academic-Year,Users-National,Users-National-Source,Users-National-Year,Users-Public,Users-Public-Source,Users-Public-Year,Users-School,Users-School-Source,Users-School-Year,Users-Special,Users-Special-Source,Users-Special-Year,Volumes-Academic,Volumes-Academic-Source,Volumes-Academic-Year,Volumes-National,Volumes-National-Source,Volumes-National-Year,Volumes-Public,Volumes-Public-Source,Volumes-Public-Year,Volumes-School,Volumes-School-Source,Volumes-School-Year,Volumes-Special,Volumes-Special-Source,Volumes-Special-Year,Publishers,Publishers-Source,Publishers-Year,Museums,Museums-Source,Museums-Year,Notes,oclcdat,oclcSource,oclcYear,lang1,pct1,lang2,pct2,lang3,pct3,lang4,pct4,lang5,pct5,lang6,pct6,lang7,pct7,lang8,pct8,lang9,pct9,lang10,pct10,lang11,pct11,lang12,pct12
US-DC,District of Columbia,90934715 ,33 ,2012 ,NA,,,42646984 ,34 ,2013 ,NA,,,NA,,,274,33,2012,NA,,,158,34,2013,NA,,,NA,,,17,33,2012,NA,,,1,34,2013,138,35,2000,192,56,2016,1,57,2016,NA,,,NA,,,315737,34,2013,NA,,,NA,,,11342568,33,2012,NA,,,1802305,34,2013,NA,,,8220541,56,2012,113,47,2012,190,79,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US-DE,Delaware,26920185 ,33 ,2012 ,NA,,,24304619 ,34 ,2013 ,NA,,,NA,,,93,33,2012,NA,,,115.55,34,2013,NA,,,NA,,,11,33,2012,NA,,,19,34,2013,136,35,2000,30,56,2016,0,57,2016,NA,,,NA,,,417577,34,2013,NA,,,NA,,,3863747,33,2012,NA,,,1642391,34,2013,NA,,,704013,56,2012,11,47,2012,132,79,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US-FL,Florida,248938193 ,33 ,2012 ,NA,,,511180506 ,34 ,2013 ,NA,,,NA,,,1098,33,2012,NA,,,1912.1,34,2013,NA,,,NA,,,169,33,2012,NA,,,60,34,2013,2436,35,2000,195,56,2016,2,57,2016,NA,,,NA,,,10635179,34,2013,NA,,,NA,,,33465984,33,2012,NA,,,31350819,34,2013,NA,,,1762182,56,2012,130,47,2012,1149,79,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US-GA,Georgia,176628408 ,33 ,2012 ,NA,,,178653367 ,34 ,2013 ,NA,,,NA,,,799,33,2012,NA,,,605,34,2013,NA,,,NA,,,113,33,2012,NA,,,61,34,2013,1710,35,2000,128,56,2016,1,57,2106,NA,,,NA,,,4756949,34,2013,NA,,,NA,,,25373859,33,2012,NA,,,16089310,34,2013,NA,,,722624,56,2012,72,47,2012,668,79,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US-HI,Hawaii,30614901 ,33 ,2012 ,NA,,,30525688 ,34 ,2013 ,NA,,,NA,,,132,33,2012,NA,,,174,34,2013,NA,,,NA,,,14,33,2012,NA,,,1,34,2013,247,35,2000,38,56,2016,1,57,2016,NA,,,NA,,,981460,34,2013,NA,,,NA,,,4153794,33,2012,NA,,,3371766,34,2013,NA,,,892370,56,2012,12,47,2012,176,79,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US-IA,Iowa,82272584 ,33 ,2012 ,NA,,,112257329 ,34 ,2013 ,NA,,,NA,,,278,33,2012,NA,,,964,34,2013,NA,,,NA,,,64,33,2012,NA,,,543,34,2013,1463,35,2000,70,56,2016,1,57,2016,NA,,,NA,,,2048147,34,2013,NA,,,NA,,,15676466,33,2012,NA,,,12033109,34,2013,NA,,,858364,56,2012,30,47,2012,661,79,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US-ID,Idaho,24333419 ,33 ,2012 ,NA,,,45053335 ,34 ,2013 ,NA,,,NA,,,89,33,2012,NA,,,213.31,34,2013,NA,,,NA,,,15,33,2012,NA,,,100,34,2013,545,35,2000,30,56,2016,0,57,2016,NA,,,NA,,,801245,34,2013,NA,,,NA,,,4211843,33,2012,NA,,,4357460,34,2013,NA,,,252357,56,2012,7,47,2012,214,79,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US-IL,Illinois,323169099 ,33 ,2012 ,NA,,,701566240 ,34 ,2013 ,NA,,,NA,,,1202,33,2012,NA,,,3137.13,34,2013,NA,,,NA,,,158,33,2012,NA,,,625,34,2013,3638,35,2000,357,56,2016,2,57,2016,NA,,,NA,,,6814354,34,2013,NA,,,NA,,,60551289,33,2012,NA,,,43400357,34,2013,NA,,,7522211,56,2012,267,47,2012,1310,79,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US-IN,Indiana,159868167 ,33 ,2012 ,NA,,,301286629 ,34 ,2013 ,NA,,,NA,,,606,33,2012,NA,,,1433.9,34,2013,NA,,,NA,,,80,33,2012,NA,,,237,34,2013,1737,35,2000,117,56,2016,1,57,2016,NA,,,NA,,,3757048,34,2013,NA,,,NA,,,29981530,33,2012,NA,,,24066234,34,2013,NA,,,4375312,56,2012,73,47,2012,685,79,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US-KS,Kansas,60162868 ,33 ,2012 ,NA,,,111967791 ,34 ,2013 ,NA,,,NA,,,238,33,2012,NA,,,665.69,34,2013,NA,,,NA,,,57,33,2012,NA,,,328,34,2013,1374,35,2000,64,56,2016,1,57,2016,NA,,,NA,,,1686821,34,2013,NA,,,NA,,,14277989,33,2012,NA,,,9339647,34,2013,NA,,,1078205,56,2012,22,47,2012,537,79,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
